evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
314408,2026-09-10T14:02:42.796627+00:00,134335225627966270,3332,Res.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 1304, ""Command line"": ""Res.exe "", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
316761,2026-09-10T14:02:43.317284+00:00,134335225633172847,3332,Res.exe,Process,Process_Create,C:\Windows\System32\Conhost.exe,0x00000000,"{""PID"": 4116, ""Command line"": ""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1""}"
316762,2026-09-10T14:02:43.317336+00:00,134335225633173366,4116,Conhost.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 3332, ""Command line"": ""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1"", ""Current directory"": ""C:\\Windows""}"
326221,2026-09-10T14:02:45.596885+00:00,134335225655968857,3332,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 1540, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c mkdir c:\\WindSyst""}"
326222,2026-09-10T14:02:45.596936+00:00,134335225655969363,1540,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 3332, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c mkdir c:\\WindSyst"", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
327364,2026-09-10T14:02:45.972815+00:00,134335225659728157,1540,cmd.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Create"", ""Options"": ""Directory, Synchronous IO Non-Alert, Open Reparse Point"", ""Attributes"": ""N"", ""ShareMode"": ""Read, Write"", ""AllocationSize"": 0, ""OpenResult"": ""Created""}"
327375,2026-09-10T14:02:45.976612+00:00,134335225659766127,1540,cmd.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
327381,2026-09-10T14:02:45.977273+00:00,134335225659772732,1540,cmd.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
327420,2026-09-10T14:02:45.989193+00:00,134335225659891932,1540,cmd.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 468750, ""Kernel Time"": 1250000, ""Private Bytes"": 4337664, ""Peak Private Bytes"": 4665344, ""Working Set"": 4448256, ""Peak Working Set"": 4628480}"
327541,2026-09-10T14:02:46.019961+00:00,134335225660199619,3332,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 1616, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY libgcc_s_dw2-1.dll c:\\WindSyst /S""}"
327542,2026-09-10T14:02:46.020005+00:00,134335225660200053,1616,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 3332, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY libgcc_s_dw2-1.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
328671,2026-09-10T14:02:46.251924+00:00,134335225662519241,1616,cmd.exe,Process,Process_Create,C:\Windows\SysWOW64\xcopy.exe,0x00000000,"{""PID"": 4732, ""Command line"": ""XCOPY  libgcc_s_dw2-1.dll c:\\WindSyst /S""}"
328672,2026-09-10T14:02:46.251974+00:00,134335225662519746,4732,xcopy.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 1616, ""Command line"": ""XCOPY  libgcc_s_dw2-1.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\Lab\\sample\\VIRUS\\""}"
329807,2026-09-10T14:02:46.536529+00:00,134335225665365298,4732,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
329815,2026-09-10T14:02:46.537259+00:00,134335225665372598,4732,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
329841,2026-09-10T14:02:46.544748+00:00,134335225665447482,4732,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
329846,2026-09-10T14:02:46.546002+00:00,134335225665460029,4732,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
329856,2026-09-10T14:02:46.548598+00:00,134335225665485984,4732,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst,0x00000000,{}
329858,2026-09-10T14:02:46.548815+00:00,134335225665488151,4732,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
329859,2026-09-10T14:02:46.548898+00:00,134335225665488988,4732,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
329871,2026-09-10T14:02:46.553195+00:00,134335225665531953,4732,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
329872,2026-09-10T14:02:46.553415+00:00,134335225665534152,4732,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\libgcc_s_dw2-1.dll,0xc000000f,"{""Filter"": ""libgcc_s_dw2-1.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation""}"
329873,2026-09-10T14:02:46.553554+00:00,134335225665535549,4732,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
329874,2026-09-10T14:02:46.553637+00:00,134335225665536370,4732,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
329927,2026-09-10T14:02:46.567757+00:00,134335225665677572,4732,xcopy.exe,File_System,CreateFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OverwriteIf"", ""Options"": ""Sequential Access, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 120334, ""OpenResult"": ""Created""}"
329933,2026-09-10T14:02:46.569870+00:00,134335225665698704,4732,xcopy.exe,File_System,CloseFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
329935,2026-09-10T14:02:46.570275+00:00,134335225665702756,4732,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
329950,2026-09-10T14:02:46.574160+00:00,134335225665741601,4732,xcopy.exe,File_System,CreateFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OpenIf"", ""Options"": ""Sequential Access, Synchronous IO Non-Alert, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 120334, ""OpenResult"": ""Opened""}"
329951,2026-09-10T14:02:46.574572+00:00,134335225665745722,4732,xcopy.exe,File_System,QueryAttributeInformationVolume,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
329953,2026-09-10T14:02:46.575733+00:00,134335225665757335,4732,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""CreationTime"": 134335225665656902, ""LastAccessTime"": 134335225665656902, ""LastWriteTime"": 134335225665656902, ""ChangeTime"": 134335225665656902, ""FileAttributes"": ""A""}"
330015,2026-09-10T14:02:46.596563+00:00,134335225665965633,4732,xcopy.exe,File_System,SetEndOfFileInformationFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
330065,2026-09-10T14:02:46.609743+00:00,134335225666097437,4732,xcopy.exe,File_System,WriteFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""Offset"": 0, ""Length"": 120334, ""Priority"": ""Normal""}"
330070,2026-09-10T14:02:46.611350+00:00,134335225666113503,4732,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
330072,2026-09-10T14:02:46.611974+00:00,134335225666119740,4732,xcopy.exe,File_System,QueryRemoteProtocolInformation,C:\WindSyst\libgcc_s_dw2-1.dll,0xc000000d,{}
330077,2026-09-10T14:02:46.612327+00:00,134335225666123271,4732,xcopy.exe,File_System,CloseFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
330085,2026-09-10T14:02:46.615346+00:00,134335225666153460,4732,xcopy.exe,File_System,QueryOpen,C:\WindSyst\libgcc_s_dw2-1.dll,0xc01c0004,{}
330087,2026-09-10T14:02:46.616037+00:00,134335225666160374,4732,xcopy.exe,File_System,CreateFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""Desired Access"": ""Read Attributes"", ""Disposition"": ""Open"", ""Options"": ""Open Reparse Point"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
330088,2026-09-10T14:02:46.616191+00:00,134335225666161918,4732,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""CreationTime"": 134335225665656902, ""LastAccessTime"": 134335225666135454, ""LastWriteTime"": 133049000900000000, ""ChangeTime"": 134335221259791201, ""FileAttributes"": ""A""}"
330089,2026-09-10T14:02:46.616256+00:00,134335225666162567,4732,xcopy.exe,File_System,CloseFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
