evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
100806,2026-09-10T10:33:34.519863+00:00,134335100145198631,6064,Res.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 5236, ""Command line"": ""\""C:\\lab\\sample\\virus\\Res.exe\"""", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
105793,2026-09-10T10:33:35.876375+00:00,134335100158763759,6064,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 1544, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c mkdir c:\\WindSyst""}"
105795,2026-09-10T10:33:35.876423+00:00,134335100158764231,1544,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 6064, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c mkdir c:\\WindSyst"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
106904,2026-09-10T10:33:36.319881+00:00,134335100163198811,1544,cmd.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Create"", ""Options"": ""Directory, Synchronous IO Non-Alert, Open Reparse Point"", ""Attributes"": ""N"", ""ShareMode"": ""Read, Write"", ""AllocationSize"": 0, ""OpenResult"": ""Created""}"
106915,2026-09-10T10:33:36.323755+00:00,134335100163237551,1544,cmd.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
106920,2026-09-10T10:33:36.324380+00:00,134335100163243806,1544,cmd.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
107098,2026-09-10T10:33:36.355368+00:00,134335100163553681,1544,cmd.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 312500, ""Kernel Time"": 1562500, ""Private Bytes"": 4333568, ""Peak Private Bytes"": 4661248, ""Working Set"": 4431872, ""Peak Working Set"": 4612096}"
107347,2026-09-10T10:33:36.432845+00:00,134335100164328454,6064,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 2584, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY libgcc_s_dw2-1.dll c:\\WindSyst /S""}"
107348,2026-09-10T10:33:36.432890+00:00,134335100164328906,2584,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 6064, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY libgcc_s_dw2-1.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
108426,2026-09-10T10:33:36.690633+00:00,134335100166906338,2584,cmd.exe,Process,Process_Create,C:\Windows\SysWOW64\xcopy.exe,0x00000000,"{""PID"": 1516, ""Command line"": ""XCOPY  libgcc_s_dw2-1.dll c:\\WindSyst /S""}"
108427,2026-09-10T10:33:36.690682+00:00,134335100166906822,1516,xcopy.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 2584, ""Command line"": ""XCOPY  libgcc_s_dw2-1.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
109388,2026-09-10T10:33:36.933996+00:00,134335100169339969,1516,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
109397,2026-09-10T10:33:36.934685+00:00,134335100169346854,1516,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
109408,2026-09-10T10:33:36.937992+00:00,134335100169379924,1516,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
109411,2026-09-10T10:33:36.939034+00:00,134335100169390349,1516,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
109412,2026-09-10T10:33:36.940561+00:00,134335100169405611,1516,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst,0x00000000,{}
109413,2026-09-10T10:33:36.940845+00:00,134335100169408455,1516,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
109414,2026-09-10T10:33:36.940921+00:00,134335100169409215,1516,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
109431,2026-09-10T10:33:36.949204+00:00,134335100169492042,1516,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
109432,2026-09-10T10:33:36.949431+00:00,134335100169494318,1516,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\libgcc_s_dw2-1.dll,0xc000000f,"{""Filter"": ""libgcc_s_dw2-1.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation""}"
109433,2026-09-10T10:33:36.949654+00:00,134335100169496547,1516,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
109434,2026-09-10T10:33:36.949735+00:00,134335100169497357,1516,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
109489,2026-09-10T10:33:36.966743+00:00,134335100169667437,1516,xcopy.exe,File_System,CreateFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OverwriteIf"", ""Options"": ""Sequential Access, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 120334, ""OpenResult"": ""Created""}"
109500,2026-09-10T10:33:36.968728+00:00,134335100169687289,1516,xcopy.exe,File_System,CloseFile,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
109502,2026-09-10T10:33:36.969164+00:00,134335100169691645,1516,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\libgcc_s_dw2-1.dll,0x00000000,{}
